Player,OPP,MP,FGAVG,FGAAVG,FG%AVG,3PAVG,3PAAVG,3P%AVG,FTAVG,FTAAVG,FT%AVG,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,GmSc,+/-,Bucket
Doncic,MEM,1.50,12.50,23.50,0.54,4.50,9.50,0.49,8.00,11.00,0.71,0.00,6.00,6.00,6.00,3.00,0.00,3.00,1.00,23.90,-14.00,7.00
Doncic,LAL,1.51,10.50,23.50,0.45,3.50,10.00,0.33,8.00,11.50,0.68,0.00,13.00,13.00,10.00,2.00,2.00,4.00,2.00,29.70,-15.00,7.00
Doncic,BOS,1.65,10.50,22.50,0.46,2.00,8.50,0.24,9.00,12.00,0.76,5.00,13.00,18.00,13.00,2.00,0.00,3.00,5.00,28.70,-13.00,7.00
Doncic,PHO,1.61,12.00,27.00,0.45,2.00,8.50,0.24,7.00,10.00,0.71,1.00,7.00,8.00,9.00,1.00,2.00,5.00,1.00,26.10,-22.00,7.00
Doncic,ATL,1.86,11.50,27.00,0.43,3.00,9.50,0.31,7.50,11.50,0.65,0.00,10.00,10.00,7.00,1.00,0.00,4.00,1.00,64.00,13.00,10.00
Doncic,SAC,1.92,18.00,28.50,0.61,6.00,12.00,0.49,11.50,14.00,0.80,2.00,8.00,10.00,17.00,2.00,1.00,3.00,3.00,26.40,2.00,6.00
Doncic,ORL,1.79,17.00,29.50,0.55,4.50,11.00,0.36,12.00,14.00,0.84,0.00,9.00,9.00,15.00,2.00,0.00,4.00,4.00,42.10,3.00,9.00
Doncic,MIL,1.77,10.50,24.50,0.43,2.00,8.50,0.24,13.50,16.50,0.80,1.00,8.00,9.00,11.00,1.00,0.00,9.00,4.00,27.80,-12.00,8.00
Doncic,PHI,1.48,12.50,24.50,0.51,3.50,10.00,0.35,14.00,16.00,0.88,0.00,8.00,8.00,3.00,1.00,0.00,3.00,3.00,11.40,17.00,4.00
Doncic,BRK,1.79,9.50,20.50,0.45,4.00,11.00,0.37,6.50,8.00,0.75,1.00,17.00,18.00,9.00,2.00,1.00,1.00,3.00,31.90,6.00,7.00
Doncic,NYK,1.67,9.50,21.00,0.44,4.00,10.50,0.38,4.00,7.50,0.55,0.00,8.00,8.00,11.00,4.00,1.00,3.00,1.00,38.40,18.00,8.00
Doncic,OKC,1.30,13.00,25.50,0.51,5.50,12.50,0.43,5.50,8.50,0.68,0.00,8.00,8.00,9.00,0.00,0.00,3.00,3.00,29.10,18.00,7.00
Doncic,WAS,1.55,11.00,19.00,0.59,5.50,11.00,0.50,8.00,10.00,0.81,1.00,10.00,11.00,15.00,1.00,2.00,5.00,3.00,27.20,19.00,6.00
Doncic,SAS,1.30,8.50,15.00,0.57,3.00,7.50,0.39,9.00,12.00,0.75,0.00,9.00,9.00,8.00,2.00,1.00,5.00,2.00,22.60,25.00,6.00
Doncic,PHO,1.59,9.50,18.00,0.53,1.50,7.50,0.21,6.00,7.50,0.86,0.00,9.00,9.00,11.00,3.00,0.00,3.00,4.00,36.50,9.00,9.00
Doncic,IND,1.38,12.50,23.50,0.53,3.50,9.50,0.34,5.50,5.50,1.00,1.00,5.00,6.00,6.00,1.00,2.00,3.00,4.00,25.30,-13.00,7.00
Doncic,CLE,1.72,12.00,24.00,0.50,5.00,9.50,0.52,8.00,9.50,0.88,0.00,9.00,9.00,14.00,3.00,0.00,1.00,1.00,45.60,13.00,9.00
Doncic,TOR,1.48,13.50,25.00,0.53,5.00,9.50,0.52,7.00,8.50,0.88,1.00,11.00,12.00,16.00,2.00,0.00,5.00,3.00,28.50,11.00,6.00
Doncic,BOS,1.52,14.00,26.00,0.53,3.50,9.50,0.34,6.00,7.00,0.89,3.00,9.00,12.00,11.00,0.00,0.00,2.00,3.00,33.60,-20.00,8.00
Doncic,PHI,1.68,12.50,24.00,0.52,2.00,8.50,0.23,6.50,8.50,0.76,2.00,9.00,11.00,10.00,1.00,0.00,7.00,2.00,29.00,9.00,8.00
Doncic,IND,1.78,14.00,26.00,0.54,3.50,9.50,0.37,6.00,7.00,0.88,0.00,10.00,10.00,11.00,0.00,0.00,5.00,4.00,27.70,-18.00,8.00
Doncic,MIA,1.65,14.50,28.50,0.51,4.00,11.50,0.35,5.50,6.00,0.92,0.00,11.00,11.00,11.00,1.00,0.00,4.00,2.00,30.20,11.00,7.00
Doncic,DET,1.53,13.50,27.00,0.50,5.50,13.00,0.42,4.50,5.00,0.92,0.00,10.00,10.00,10.00,3.00,2.00,6.00,1.00,35.00,13.00,8.00
Doncic,CHI,1.40,12.50,24.00,0.52,5.50,13.00,0.42,6.50,7.00,0.95,2.00,10.00,12.00,14.00,1.00,0.00,2.00,2.00,26.50,34.00,6.00
Doncic,GSW,1.23,11.00,23.50,0.47,5.00,14.00,0.35,6.00,7.00,0.83,1.00,2.00,3.00,9.00,0.00,0.00,6.00,0.00,12.00,14.00,5.00
Doncic,DEN,1.67,8.00,20.50,0.39,3.50,10.50,0.28,4.50,6.00,0.75,4.00,6.00,10.00,3.00,2.00,0.00,3.00,3.00,26.60,-1.00,8.00
Doncic,SAS,1.68,9.50,22.50,0.42,3.00,8.50,0.31,7.00,9.00,0.78,0.00,10.00,10.00,16.00,1.00,0.00,4.00,0.00,12.30,5.00,4.00
Doncic,UTA,1.44,9.00,27.00,0.33,3.50,11.50,0.31,6.00,7.50,0.80,1.00,8.00,9.00,8.00,4.00,0.00,4.00,2.00,28.60,-3.00,7.00
Gilgeous-Alexander,CHI,36:01,,,,,,,,,,0,5,5,10,1,2,1,0,33.1,+19,7.00
Gilgeous-Alexander,CLE,35:57,,,,,,,,,,1,10,11,4,5,1,5,2,28.2,+4,7.00
Gilgeous-Alexander,DEN,28:19,13.5,22.00,0.62,2,3.5,0.7,3.5,3.5,1,1,3,4,7,1,0,0,2,2.9,-22,2.00
Gilgeous-Alexander,DET,32:52,8.5,21.00,0.35,1,3,0.5,2.5,3,0.875,1,8,9,4,3,0,5,2,23.4,+17,7.00
Gilgeous-Alexander,NOP,38:05,6.5,19.50,0.30,0.5,3.5,0.1665,6,6.5,0.875,0,5,5,8,3,0,2,2,16.1,+3,4.00
Gilgeous-Alexander,ATL,37:27,9.5,21.50,0.44,0.5,4,0.1665,6.5,7,0.9,1,7,8,6,1,0,2,5,24.0,+14,6.00
Gilgeous-Alexander,CLE,37:36,9.5,20.00,0.48,1.5,6,0.2145,4.5,5.5,0.8165,2,5,7,6,2,1,3,3,38.8,+10,9.00
Gilgeous-Alexander,SAC,37:41,13,21.00,0.62,2,4.5,0.4645,8.5,9.5,0.878,0,7,7,5,2,2,2,1,27.3,-3,7.00
Gilgeous-Alexander,PHO,36:50,14.5,23.50,0.62,0.5,2,0.25,8.5,9.5,0.878,0,7,7,4,1,1,1,3,28.8,+7,7.00
Gilgeous-Alexander,SAS,28:04,13.5,23.50,0.58,1,3.5,0.2,6,7,0.854,1,5,6,5,7,0,2,2,30.7,+25,6.00
Gilgeous-Alexander,GSW,29:16,11.5,19.00,0.61,1.5,4.5,0.325,7,7.5,0.9375,1,1,2,7,3,1,2,4,17.7,+12,5.00
Gilgeous-Alexander,GSW,40:41,8,18.50,0.46,2,5.5,0.3395,8,8,1,1,6,7,6,2,2,3,1,33.6,+7,8.00
Gilgeous-Alexander,POR,22:31,12,25.00,0.45,2.5,5,0.548,5.5,5.5,1,0,3,3,4,1,0,3,2,23.8,+26,6.00
